old_url,file_path,bucket,new_slug,canonical_target,reason
https://supaboard.ai/blog/5-ways-saas-startups-use-no-code-dashboards-to-win-investors,posts/5-ways-saas-startups-use-no-code-dashboards-to-win-investors.md,MERGE,,https://supaboard.ai/blog/bi-dashboards,Absorbed into bi-dashboards: Four general dashboard explainers competing for the same head term.
https://supaboard.ai/blog/ad-hoc-query,posts/ad-hoc-query.md,MERGE,,https://supaboard.ai/blog/what-is-an-ad-hoc-query,"Absorbed into ad-hoc-query: The shorter post links to the longer one with the anchor 'ad hoc queries', conceding the ranking itself. Also absorbs the two adjacent query posts."
https://supaboard.ai/blog/agentic-analytics-vs-traditional-bi-tools,posts/agentic-analytics-vs-traditional-bi-tools.md,KEEP,agentic-analytics,,Cluster canonical (agentic-analytics): Agentic and AI-native BI are the same category argument under two names.
https://supaboard.ai/blog/ai-agents-in-ecommerce-automate-campaign-analysis-budgeting-insights,posts/ai-agents-in-ecommerce-automate-campaign-analysis-budgeting-insights.md,MERGE,,https://supaboard.ai/blog/ecommerce-analytics,"Absorbed into ecommerce-analytics: Four thin e-commerce analytics posts, three of them under 850 words."
https://supaboard.ai/blog/ai-contextual-governance-framework,posts/ai-contextual-governance-framework.md,KEEP,ai-analytics-governance,,"Cluster canonical (ai-governance): Five posts on trusting AI output — governance, ethics, explainability and human-in-the-loop. This is the trustworthy-ai pillar and should be one authoritative page."
https://supaboard.ai/blog/ai-dashboard-explained,posts/ai-dashboard-explained.md,MERGE,,https://supaboard.ai/blog/bi-dashboards,Absorbed into bi-dashboards: Four general dashboard explainers competing for the same head term.
https://supaboard.ai/blog/ai-data-analyst-how-it-works-and-best-tools-(2026),posts/ai-data-analyst-how-it-works-and-best-tools-(2026).md,KEEP,ai-data-analyst,,Cluster canonical (ai-data-analyst): Drops the parenthesised year from a CTO-authored keeper and absorbs the AutoML post covering the same automate-what question.
https://supaboard.ai/blog/ai-in-the-workplace-how-ai-is-transforming-jobs-teams-leadership-in-2026,posts/ai-in-the-workplace-how-ai-is-transforming-jobs-teams-leadership-in-2026.md,KILL,,410,"ADDED: workplace and leadership commentary. HR territory, not analytics."
https://supaboard.ai/blog/ai-meets-data-viz-how-generative-ai-tools-are-transforming-data-storytelling,posts/ai-meets-data-viz-how-generative-ai-tools-are-transforming-data-storytelling.md,MERGE,,https://supaboard.ai/blog/generative-business-intelligence,"Absorbed into generative-bi: Generative BI, the generative AI primer and the data-storytelling post overlap almost entirely."
https://supaboard.ai/blog/ai-native-apps-the-future-every-startup-must-prepare-for-in-2025,posts/ai-native-apps-the-future-every-startup-must-prepare-for-in-2025.md,KILL,,410,ADDED: startup product-architecture advice. Off-topic.
https://supaboard.ai/blog/ai-native-business-intelligence-tools,posts/ai-native-business-intelligence-tools.md,MERGE,,https://supaboard.ai/blog/agentic-analytics,Absorbed into agentic-analytics: Agentic and AI-native BI are the same category argument under two names.
https://supaboard.ai/blog/ai-predictive-analytics-in-healthcare-how-data-is-transforming-patient-care,posts/ai-predictive-analytics-in-healthcare-how-data-is-transforming-patient-care.md,KEEP,healthcare-analytics,,Supports the healthcare-rcm pillar alongside the Jindal story. Slug shortened.
https://supaboard.ai/blog/ai-tools-for-business-that-actually-work,posts/ai-tools-for-business-that-actually-work.md,KILL,,410,General AI-tool listicle spanning content and automation. Not a data or BI post despite its length.
https://supaboard.ai/blog/ai-transformation-problem-of-governance,posts/ai-transformation-problem-of-governance.md,MERGE,,https://supaboard.ai/blog/ai-analytics-governance,"Absorbed into ai-governance: Five posts on trusting AI output — governance, ethics, explainability and human-in-the-loop. This is the trustworthy-ai pillar and should be one authoritative page."
https://supaboard.ai/blog/all-about-retail-business-intelligence,posts/all-about-retail-business-intelligence.md,KEEP,retail-business-intelligence,,Cluster canonical (retail-analytics): Retail BI and retail KPIs are one buyer question.
https://supaboard.ai/blog/application-integration-vs-data-integration,posts/application-integration-vs-data-integration.md,MERGE,,https://supaboard.ai/blog/data-connectivity,"Absorbed into data-connectivity: Connectivity, integration-vs-integration and warehouse-to-LLM plumbing are the same subject."
https://supaboard.ai/blog/automl-for-analysts-what-you-can-automate-and-what-you-can-t,posts/automl-for-analysts-what-you-can-automate-and-what-you-can-t.md,MERGE,,https://supaboard.ai/blog/ai-data-analyst,Absorbed into ai-data-analyst: Drops the parenthesised year from a CTO-authored keeper and absorbs the AutoML post covering the same automate-what question.
https://supaboard.ai/blog/bar-graph-vs-histogram,posts/bar-graph-vs-histogram.md,KEEP,bar-graph-vs-histogram,,"Cluster canonical (bar-graph-histogram): Identical down to the example numbers (45% electronics, $450K revenue, 60% of orders under $50)."
https://supaboard.ai/blog/best-ai-bi-tools,posts/best-ai-bi-tools.md,KEEP,best-ai-bi-tools,,Cluster canonical (bi-tool-listicles): Six listicles competing for one commercial query.
https://supaboard.ai/blog/best-ai-powered-business-intelligence,posts/best-ai-powered-business-intelligence.md,MERGE,,https://supaboard.ai/blog/best-ai-bi-tools,Absorbed into bi-tool-listicles: Six listicles competing for one commercial query.
https://supaboard.ai/blog/best-business-intelligence-tools,posts/best-business-intelligence-tools.md,MERGE,,https://supaboard.ai/blog/best-ai-bi-tools,Absorbed into bi-tool-listicles: Six listicles competing for one commercial query.
